"filename", "language", "HTML", "CSS", "PHP", "JavaScript", "XML", "comment", "blank", "total"
"d:\App\wamp64\www\Fons\Content\bs\css\bootstrap-grid.css", "CSS", 0, 1940, 0, 0, 0, 7, 103, 2050
"d:\App\wamp64\www\Fons\Content\bs\css\bootstrap-grid.min.css", "CSS", 0, 1, 0, 0, 0, 6, 0, 7
"d:\App\wamp64\www\Fons\Content\bs\css\bootstrap-reboot.css", "CSS", 0, 266, 0, 0, 0, 8, 56, 330
"d:\App\wamp64\www\Fons\Content\bs\css\bootstrap-reboot.min.css", "CSS", 0, 1, 0, 0, 0, 7, 0, 8
"d:\App\wamp64\www\Fons\Content\bs\css\bootstrap.css", "CSS", 0, 7936, 0, 0, 0, 7, 1032, 8975
"d:\App\wamp64\www\Fons\Content\bs\css\bootstrap.min.css", "CSS", 0, 1, 0, 0, 0, 6, 0, 7
"d:\App\wamp64\www\Fons\Content\bs\js\bootstrap.bundle.js", "JavaScript", 0, 0, 0, 3950, 0, 1339, 1040, 6329
"d:\App\wamp64\www\Fons\Content\bs\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 0, 1, 0, 6, 0, 7
"d:\App\wamp64\www\Fons\Content\bs\js\bootstrap.js", "JavaScript", 0, 0, 0, 2797, 0, 354, 744, 3895
"d:\App\wamp64\www\Fons\Content\bs\js\bootstrap.min.js", "JavaScript", 0, 0, 0, 1, 0, 6, 0, 7
"d:\App\wamp64\www\Fons\Content\jquery.js", "JavaScript", 0, 0, 0, 6767, 0, 1887, 2063, 10717
"d:\App\wamp64\www\Fons\Fons\AG\index.html", "HTML", 217, 0, 0, 0, 0, 1, 14, 232
"d:\App\wamp64\www\Fons\Fons\About\index.php", "PHP", 0, 0, 180, 0, 0, 5, 35, 220
"d:\App\wamp64\www\Fons\Fons\Chat\index.css", "CSS", 0, 505, 0, 0, 0, 7, 60, 572
"d:\App\wamp64\www\Fons\Fons\Chat\index.php", "PHP", 0, 0, 328, 0, 0, 13, 23, 364
"d:\App\wamp64\www\Fons\Fons\Explore\index.css", "CSS", 0, 457, 0, 0, 0, 0, 2, 459
"d:\App\wamp64\www\Fons\Fons\Explore\index.php", "PHP", 0, 0, 210, 0, 0, 6, 15, 231
"d:\App\wamp64\www\Fons\Fons\Setting\index.css", "CSS", 0, 309, 0, 0, 0, 3, 44, 356
"d:\App\wamp64\www\Fons\Fons\Setting\index.php", "PHP", 0, 0, 258, 0, 0, 9, 19, 286
"d:\App\wamp64\www\Fons\Fons\account\index.css", "CSS", 0, 366, 0, 0, 0, 0, 2, 368
"d:\App\wamp64\www\Fons\Fons\account\index.php", "PHP", 0, 0, 327, 0, 0, 8, 21, 356
"d:\App\wamp64\www\Fons\SignOut.html", "HTML", 16, 0, 0, 0, 0, 0, 1, 17
"d:\App\wamp64\www\Fons\api\NewChat.php", "PHP", 0, 0, 57, 0, 0, 6, 1, 64
"d:\App\wamp64\www\Fons\api\NewPost.php", "PHP", 0, 0, 44, 0, 0, 6, 0, 50
"d:\App\wamp64\www\Fons\api\NewUser.php", "PHP", 0, 0, 18, 0, 0, 0, 1, 19
"d:\App\wamp64\www\Fons\api\ReciveExplore.php", "PHP", 0, 0, 25, 0, 0, 2, 0, 27
"d:\App\wamp64\www\Fons\api\ReciveMess.php", "PHP", 0, 0, 15, 0, 0, 2, 0, 17
"d:\App\wamp64\www\Fons\api\RecivePosts.php", "PHP", 0, 0, 16, 0, 0, 2, 0, 18
"d:\App\wamp64\www\Fons\api\ReciveProf.php", "PHP", 0, 0, 4, 0, 0, 0, 0, 4
"d:\App\wamp64\www\Fons\api\ReciveUsersMess.php", "PHP", 0, 0, 14, 0, 0, 2, 1, 17
"d:\App\wamp64\www\Fons\api\SendMess.php", "PHP", 0, 0, 44, 0, 0, 12, 2, 58
"d:\App\wamp64\www\Fons\api\SetProfile.php", "PHP", 0, 0, 55, 0, 0, 5, 5, 65
"d:\App\wamp64\www\Fons\api\TestUser.php", "PHP", 0, 0, 15, 0, 0, 1, 0, 16
"d:\App\wamp64\www\Fons\ico\signout.svg", "XML", 0, 0, 0, 0, 6, 1, 0, 7
"d:\App\wamp64\www\Fons\index.css", "CSS", 0, 357, 0, 0, 0, 0, 2, 359
"d:\App\wamp64\www\Fons\index.html", "HTML", 321, 0, 0, 0, 0, 0, 14, 335
"Total", "-", 554, 12139, 1610, 13516, 6, 3724, 5300, 36849