"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"d:\App\wamp64\www\Fons\Content\bs\css\bootstrap-grid.css", "CSS", 0, -1940, -7, -103, -2050
"d:\App\wamp64\www\Fons\Content\bs\css\bootstrap-grid.min.css", "CSS", 0, -1, -6, 0, -7
"d:\App\wamp64\www\Fons\Content\bs\css\bootstrap-reboot.css", "CSS", 0, -266, -8, -56, -330
"d:\App\wamp64\www\Fons\Content\bs\css\bootstrap-reboot.min.css", "CSS", 0, -1, -7, 0, -8
"d:\App\wamp64\www\Fons\Content\bs\css\bootstrap.css", "CSS", 0, -7936, -7, -1032, -8975
"d:\App\wamp64\www\Fons\Content\bs\css\bootstrap.min.css", "CSS", 0, -1, -6, 0, -7
"d:\App\wamp64\www\Fons\Content\bs\js\bootstrap.bundle.js", "JavaScript", -3950, 0, -1339, -1040, -6329
"d:\App\wamp64\www\Fons\Content\bs\js\bootstrap.bundle.min.js", "JavaScript", -1, 0, -6, 0, -7
"d:\App\wamp64\www\Fons\Content\bs\js\bootstrap.js", "JavaScript", -2797, 0, -354, -744, -3895
"d:\App\wamp64\www\Fons\Content\bs\js\bootstrap.min.js", "JavaScript", -1, 0, -6, 0, -7
"d:\App\wamp64\www\Fons\Content\jquery.js", "JavaScript", -6767, 0, -1887, -2063, -10717
"Total", "-", -13516, -10145, -3633, -5038, -32332